Candidate,Party,Votes
SURESH B S,Indian National Congress,74453
Y A NARAYANASWAMY,Bharatiya Janata Party,53313
HANUMANTHE GOWDA,Janata Dal (Secular),14092
ANJAN KUMAR GOWDA,Indian New Congress Party,702
NAGARAJU,Independent,356
RAGHAVENDRA K THANE,Aam Aadmi Party,328
JAMEEL AHMED,Independent,294
UMADEVI,Independent,281
D NARAYANA SWAMY,Independent,178
MANJUNATH M,Republican Party of India,135
SYED KAWJA WALI HYDRI,Karnataka Pragnyavantha Janatha Party,129
KUMARESH,Republican Sena,80
SALEEM KHAN,Federal Congress of India,77
NARAYANASWAMY M,Independent,76
B S SURESH,Independent,74
MOHAMMED AYUB,Independent,72
B M SURESHA,Independent,67
SYED ASIF BUKMARI,Independent,65
DR P K VELLADURAI,Independent,63
RAVI KUMAR A R,Jana Samanyara Party (Karnataka),61
ATIYA ASGAR,Janata Dal (United),56
T JAIKUMAR,Shivsena,52
ISARATH JAHAN,Karnataka Jantha Paksha,48
JAFFER SHARIEF,Dr. Ambedkar People's Party,44
DR MANJUNATH NAYAK,Ambedkar National Congress,39
N RAJANNA,Independent,39
VINAY KUMAR V NAYAK,Independent,37
S RAGHAVAN,Independent,29
None of the Above,None of the Above,1450
